iter	RMSE
0	0.4958199129
1	0.4697612486
2	0.4475126685
3	0.4282598279
4	0.410971815
5	0.3959171266
6	0.3828981893
7	0.3711201496
8	0.3608670281
9	0.3522890222
10	0.3436723041
11	0.3361906175
12	0.3286531509
13	0.3232462984
14	0.3185370459
15	0.3131788149
16	0.3095155379
17	0.3048613268
18	0.3006249552
19	0.2974369217
20	0.2942798323
21	0.2917229509
22	0.2890484486
23	0.2852680785
24	0.2829633168
25	0.2799986557
26	0.2779890946
27	0.2760401744
28	0.2748895962
29	0.2731861386
30	0.2718020818
31	0.2692604871
32	0.2681946518
33	0.2665945647
34	0.2643691522
35	0.2627985034
36	0.261095371
37	0.25858012
38	0.2574957811
39	0.2569775319
40	0.2563847173
41	0.2548343793
42	0.2540693533
43	0.253298542
44	0.2518614625
45	0.2502145754
46	0.2495957926
47	0.2492142248
48	0.2469625223
49	0.2451581001
50	0.244892835
51	0.2444380895
52	0.2428724347
53	0.2417350144
54	0.2397865066
55	0.2394301134
56	0.2385030298
57	0.2374586608
58	0.2365620159
59	0.2353345754
60	0.2349435783
61	0.2345441125
62	0.2342232971
63	0.2335568633
64	0.2332680832
65	0.2326624891
66	0.2303114087
67	0.2290541614
68	0.2282148593
69	0.2276488059
70	0.2272062401
71	0.2269735303
72	0.2266463506
73	0.2264418243
74	0.2258654656
75	0.2252310493
76	0.2250270873
77	0.2243151529
78	0.2241811835
79	0.2219548625
80	0.2214847977
81	0.2212954176
82	0.2193850667
83	0.2190087592
84	0.2181268628
85	0.2175217179
86	0.2169146421
87	0.2155283696
88	0.2150142968
89	0.2138361183
90	0.2134082039
91	0.2132028269
92	0.212924436
93	0.2126382772
94	0.2122543709
95	0.2120598732
96	0.2113450599
97	0.2109277041
98	0.2105313768
99	0.2097947142
100	0.2090220629
101	0.2087792168
102	0.2084487361
103	0.2078232988
104	0.20752341
105	0.2072141817
106	0.2070732179
107	0.2067309026
108	0.206210067
109	0.2057350423
110	0.2053890977
111	0.2050160309
112	0.204765028
113	0.2040845653
114	0.2039210362
115	0.2036107585
116	0.2029554036
117	0.2027349984
118	0.2024596933
119	0.202125985
120	0.2012949656
121	0.2003603795
122	0.2000902392
123	0.199344414
124	0.1987621732
125	0.1982945859
126	0.1979719979
127	0.1976685427
128	0.1971535453
129	0.1969721177
130	0.1964514276
131	0.1959723333
132	0.1955852802
133	0.1952435424
134	0.1949665459
135	0.1946937233
136	0.194179995
137	0.1939092654
138	0.1937148189
139	0.1932950731
140	0.1931378373
141	0.1929367099
142	0.1924011151
143	0.1921204357
144	0.1917738304
145	0.1915950828
146	0.1911841411
147	0.1909346625
148	0.1908062086
149	0.1903202967
150	0.1900221955
151	0.1898521515
152	0.1896919273
153	0.1894867823
154	0.1893442516
155	0.189107712
156	0.1888150976
157	0.1886689384
158	0.1885008824
159	0.1883687208
160	0.1881233789
161	0.1879061294
162	0.1876487009
163	0.1873905721
164	0.1872748591
165	0.1870359718
166	0.1868919538
167	0.1867281093
168	0.1864826561
169	0.1861293271
170	0.1858224498
171	0.1856497092
172	0.1854570366
173	0.1853284106
174	0.1851683655
175	0.1849033489
176	0.1847405903
177	0.1846267902
178	0.1845148689
179	0.1844097248
180	0.1842740296
181	0.1841069273
182	0.183969628
183	0.1837802556
184	0.1836438702
185	0.1835535456
186	0.1833802461
187	0.1830825577
188	0.1830093941
189	0.1829037124
190	0.1826457546
191	0.1825001815
192	0.1823477712
193	0.1820563893
194	0.1818928532
195	0.1816808752
196	0.1814812287
197	0.1812902635
198	0.1811656094
199	0.1810090245
200	0.1809015134
201	0.1807800974
202	0.1805292923
203	0.1804420992
204	0.1803122971
205	0.1802460377
206	0.180142162
207	0.1800396988
208	0.1798706601
209	0.1797652558
210	0.1795508493
211	0.1793550401
212	0.1790582871
213	0.1789656108
214	0.1788591896
215	0.1787639783
216	0.1786068225
217	0.1785129371
218	0.178354725
219	0.1781730726
220	0.1780437025
221	0.1778450409
222	0.1777653828
223	0.1776456796
224	0.1775623316
225	0.177479061
226	0.1773406852
227	0.1772755496
228	0.1771977938
229	0.1771216647
230	0.1770313833
231	0.176882195
232	0.1767706555
233	0.1766935927
234	0.1765817585
235	0.1764131901
236	0.1763498369
237	0.1762568579
238	0.1761228988
239	0.1760056305
240	0.1756829208
241	0.1755785596
242	0.1753786131
243	0.1751151491
244	0.1749788917
245	0.1748615676
246	0.1746945557
247	0.1744410153
248	0.174290898
249	0.1741909738
250	0.1740697068
251	0.1739640647
252	0.1739144883
253	0.1737610555
254	0.1736712704
255	0.1735780067
256	0.1734917962
257	0.1734074885
258	0.1733521982
259	0.1732358641
260	0.1731756172
261	0.1729771335
262	0.1728727244
263	0.1727238203
264	0.1726441418
265	0.1724725839
266	0.172374284
267	0.1723240666
268	0.1722089003
269	0.1721322377
270	0.1719572217
271	0.1718770434
272	0.1717694756
273	0.1716445853
274	0.1714780552
275	0.1713502012
276	0.1712082752
277	0.1711504177
278	0.1710313315
279	0.1708967052
280	0.1708177554
281	0.1707552136
282	0.1706843387
283	0.170581471
284	0.1705047324
285	0.1703806734
286	0.170293003
287	0.1701742351
288	0.1700796061
289	0.1700295733
290	0.1699191885
291	0.1698497776
292	0.1697490155
293	0.1696827589
294	0.1695658905
295	0.1695020511
296	0.1693773553
297	0.1693421177
298	0.1693076685
299	0.1692287893
300	0.1691510456
301	0.169083733
302	0.1689992299
303	0.1688937223
304	0.1687892199
305	0.1687308728
306	0.1686177716
307	0.1685278819
308	0.1684859586
309	0.1682689502
310	0.1681933026
311	0.1681130739
312	0.1680471615
313	0.1679563006
314	0.1679201082
315	0.1678169509
316	0.1677285868
317	0.1676897808
318	0.167609848
319	0.1675287829
320	0.1674470238
321	0.1673549131
322	0.1672265043
323	0.1671810081
324	0.1670723026
325	0.1670057461
326	0.1668501239
327	0.1667664693
328	0.1667010451
329	0.1666494396
330	0.1665755091
331	0.1665083481
332	0.1664601933
333	0.1664053442
334	0.1662829707
335	0.1662317663
336	0.1660676728
337	0.1659443962
338	0.1658732289
339	0.1657871245
340	0.1657375307
341	0.1656345509
342	0.165575693
343	0.1654917554
344	0.165447517
345	0.1653132077
346	0.1652692292
347	0.1651621541
348	0.1650759497
349	0.1649684696
350	0.1649104954
351	0.1648451348
352	0.1648047077
353	0.1647455845
354	0.164627377
355	0.1645734789
356	0.1645020388
357	0.1644288904
358	0.1643934987
359	0.1642797754
360	0.1642184908
361	0.1641166816
362	0.1639493668
363	0.1638580851
364	0.163788554
365	0.1637410501
366	0.1636402029
367	0.1635477818
368	0.1634954649
369	0.1633771694
370	0.1632950816
371	0.1631949671
372	0.1631423908
373	0.1631062925
374	0.1630516118
375	0.1629823718
376	0.1629215589
377	0.1628325911
378	0.162729213
379	0.1626640987
380	0.1625898356
381	0.1625374286
382	0.1624748914
383	0.1624331435
384	0.1623730311
385	0.1623347186
386	0.1622782307
387	0.162202786
388	0.1621409325
389	0.1620595541
390	0.1620202901
391	0.1619230439
392	0.1618528681
393	0.1617628144
394	0.161711047
395	0.1616852025
396	0.1615920532
397	0.1615351907
398	0.1614337695
399	0.1613903943
400	0.1613381011
401	0.161272286
402	0.1611559952
403	0.1611187806
404	0.161035858
405	0.16094346
406	0.1609152113
407	0.1608301781
408	0.1607740074
409	0.1607243346
410	0.160642779
411	0.1605985554
412	0.1605420367
413	0.1605023287
414	0.160425029
415	0.1603609921
416	0.1602999068
417	0.1602310835
418	0.1601670574
419	0.1601217407
420	0.1600574462
421	0.1600187198
422	0.1598986236
423	0.159809126
424	0.1597621488
425	0.1597007645
426	0.1596406772
427	0.1595820228
428	0.1594662063
429	0.1593945753
430	0.1593296624
431	0.1592789288
432	0.1592385528
433	0.159209821
434	0.1591635615
435	0.1591089223
436	0.1590706838
437	0.1590164584
438	0.1589119091
439	0.158849891
440	0.1587883837
441	0.1587297307
442	0.1586838826
443	0.1586331355
444	0.1585755926
445	0.1585372336
446	0.1584733385
447	0.1584199148
448	0.1583517215
449	0.1583077399
450	0.1582548751
451	0.1582079192
452	0.1581651553
453	0.1581101089
454	0.1580163084
455	0.1579775394
456	0.1579375401
457	0.157888511
458	0.1578166573
459	0.1577759225
460	0.1577187737
461	0.1576675832
462	0.1576084433
463	0.1575865603
464	0.1575345411
465	0.1574772543
466	0.1574170661
467	0.1573669385
468	0.1572959916
469	0.157252843
470	0.1572026441
471	0.1571605485
472	0.1571222379
473	0.1570634192
474	0.1570079532
475	0.1569563357
476	0.1568791548
477	0.1568471274
478	0.1568051366
479	0.1567308845
480	0.1566996745
481	0.1566665271
482	0.1566174179
483	0.1565662541
484	0.1565430959
485	0.1564889585
486	0.1564182067
487	0.156400216
488	0.156366402
489	0.1563153266
490	0.1562200935
491	0.156162613
492	0.1560237735
493	0.1559875588
494	0.1559460809
495	0.1559169149
496	0.1558644728
497	0.1557613853
498	0.1556855489
499	0.1556380485
500	0.1555669452
501	0.1555258079
502	0.1554534316
503	0.1554053524
504	0.1553603423
505	0.1553313821
506	0.1552706086
507	0.1552115181
508	0.1551646766
509	0.1551339444
510	0.1551015448
511	0.1550631688
512	0.1550047711
513	0.1549683929
514	0.1549272193
515	0.1548793116
516	0.1548489099
517	0.1547674699
518	0.1547038922
519	0.1546347921
520	0.154615421
521	0.1545849507
522	0.1545234429
523	0.1544869271
524	0.1544345854
525	0.154389892
526	0.1543539226
527	0.1543099579
528	0.1542759309
529	0.154205939
530	0.154154858
531	0.1540962618
532	0.1540569632
533	0.1539904986
534	0.1539579451
535	0.1539066505
536	0.153849785
537	0.1537808297
538	0.1537420424
539	0.1536991191
540	0.1536384423
541	0.1535885842
542	0.1535375631
543	0.1534797178
544	0.1534453511
545	0.1534323422
546	0.1533813186
547	0.1533504938
548	0.153319346
549	0.1532624758
550	0.1532251873
551	0.1531790636
552	0.153137136
553	0.1530938249
554	0.1530474249
555	0.1530161139
556	0.1529593975
557	0.1529404671
558	0.1528832525
559	0.1528363686
560	0.1527960721
561	0.1527763296
562	0.1527168439
563	0.1526648976
564	0.1526133044
565	0.1525796069
566	0.1525551445
567	0.1524788054
568	0.1524434959
569	0.1524209821
570	0.1523620277
571	0.1523353006
572	0.1522958509
573	0.1522661696
574	0.1522162703
575	0.1521659161
576	0.1521220124
577	0.152072551
578	0.1520333207
579	0.1520046471
580	0.151969352
581	0.1518835527
582	0.1518369207
583	0.1518002577
584	0.1517579282
585	0.1517364018
586	0.1517124123
587	0.1516661887
588	0.1516415728
589	0.1515921951
590	0.151523137
591	0.151490609
592	0.1514492668
593	0.1513873088
594	0.1513643293
595	0.1513451217
596	0.1513052348
597	0.1512658547
598	0.1512262371
599	0.1511710877
600	0.1511293759
601	0.1510285632
602	0.1509898649
603	0.1509411589
604	0.150901534
605	0.1508636838
606	0.1508352811
607	0.150758902
608	0.1507310954
609	0.1506971236
610	0.150666701
611	0.1506363716
612	0.1505896122
613	0.1505628726
614	0.150512597
615	0.1504759347
616	0.1504320287
617	0.1503552882
618	0.1503167293
619	0.1502633977
620	0.1502204803
621	0.1501803262
622	0.1501436457
623	0.1501169443
624	0.1500912784
625	0.1500420296
626	0.1500104793
627	0.1499691086
628	0.1499321031
629	0.1499035615
630	0.1498611638
631	0.1498176429
632	0.1497399705
633	0.1497089757
634	0.1496527545
635	0.1496142759
636	0.1495700872
637	0.1495248379
638	0.1494887256
639	0.1494440312
640	0.1494110522
641	0.1493454147
642	0.1493238769
643	0.149284226
644	0.1492569782
645	0.1492110591
646	0.1491649261
647	0.1491303505
648	0.1490729295
649	0.1490235884
650	0.1489932631
651	0.1489575395
652	0.1488955812
653	0.1488451912
654	0.148794349
655	0.1487523557
656	0.1487192357
657	0.1486922865
658	0.1486547276
659	0.1486121639
660	0.1485760081
661	0.1485306898
662	0.1484861491
663	0.1484483264
