iter	Passed	Remaining
0	5	5931
1	11	5862
2	17	5912
3	23	5748
4	28	5695
5	34	5666
6	39	5633
7	45	5636
8	50	5581
9	55	5536
10	61	5520
11	66	5487
12	71	5463
13	77	5444
14	82	5414
15	88	5412
16	93	5398
17	99	5406
18	104	5383
19	109	5375
20	115	5366
21	120	5356
22	125	5347
23	131	5334
24	136	5322
25	141	5307
26	148	5360
27	153	5345
28	159	5338
29	164	5328
30	170	5317
31	175	5311
32	181	5311
33	187	5324
34	193	5327
35	198	5321
36	204	5318
37	210	5317
38	215	5307
39	220	5302
40	226	5308
41	232	5304
42	237	5296
43	243	5294
44	249	5286
45	254	5275
46	259	5267
47	264	5253
48	270	5244
49	276	5244
50	281	5234
51	286	5223
52	291	5211
53	297	5204
54	302	5198
55	308	5197
56	314	5197
57	319	5197
58	325	5188
59	330	5179
60	336	5175
61	341	5168
62	347	5168
63	353	5166
64	359	5164
65	365	5166
66	370	5162
67	376	5155
68	381	5148
69	386	5139
70	392	5132
71	397	5121
72	402	5115
73	408	5107
74	413	5104
75	419	5102
76	425	5095
77	430	5093
78	436	5083
79	441	5081
80	447	5081
81	453	5079
82	459	5080
83	465	5074
84	471	5074
85	477	5072
86	483	5072
87	489	5073
88	495	5071
89	501	5072
90	508	5080
91	514	5077
92	520	5077
93	526	5075
94	532	5071
95	538	5067
96	544	5064
97	549	5061
98	555	5058
99	561	5053
100	567	5049
101	573	5045
102	579	5043
103	584	5039
104	590	5032
105	596	5028
106	601	5021
107	607	5017
108	613	5014
109	620	5019
110	626	5014
111	631	5010
112	637	5006
113	643	5002
114	649	4998
115	655	4998
116	661	4994
117	667	4991
118	674	4990
119	679	4985
120	685	4981
121	691	4978
122	697	4971
123	703	4968
124	709	4963
125	716	4966
126	721	4962
127	727	4955
128	733	4952
129	739	4946
130	744	4940
131	750	4936
132	756	4932
133	763	4932
134	769	4929
135	774	4922
136	781	4920
137	787	4916
138	793	4912
139	798	4905
140	803	4897
141	809	4891
142	815	4887
143	821	4883
144	826	4876
145	832	4871
146	838	4865
147	844	4860
148	850	4854
149	855	4850
150	861	4845
151	867	4840
152	873	4837
153	880	4834
154	885	4829
155	891	4823
156	896	4816
157	902	4811
158	908	4805
159	914	4802
160	920	4795
161	926	4792
162	932	4786
163	938	4784
164	944	4779
165	950	4773
166	955	4768
167	961	4762
168	967	4758
169	973	4752
170	978	4745
171	984	4741
172	990	4735
173	996	4730
174	1002	4725
175	1008	4722
176	1014	4716
177	1020	4711
178	1026	4707
179	1032	4704
180	1038	4698
181	1043	4691
182	1049	4687
183	1055	4682
184	1061	4676
185	1067	4671
186	1073	4664
187	1078	4660
188	1085	4657
189	1091	4652
190	1097	4647
191	1103	4641
192	1109	4639
193	1115	4635
194	1122	4631
195	1128	4628
196	1134	4622
197	1140	4617
198	1146	4613
199	1151	4607
200	1157	4602
201	1163	4594
202	1169	4590
203	1175	4585
204	1181	4580
205	1187	4576
206	1193	4572
207	1199	4568
208	1206	4565
209	1213	4563
210	1219	4558
211	1225	4555
212	1232	4552
213	1238	4548
214	1244	4545
215	1251	4541
216	1257	4538
217	1264	4534
218	1270	4531
219	1277	4528
220	1283	4523
221	1289	4518
222	1295	4514
223	1301	4509
224	1307	4504
225	1314	4500
226	1320	4495
227	1326	4491
228	1332	4487
229	1339	4483
230	1344	4477
231	1351	4473
232	1357	4468
233	1364	4466
234	1370	4460
235	1376	4456
236	1383	4452
237	1389	4448
238	1395	4444
239	1401	4439
240	1407	4433
241	1413	4428
242	1419	4422
243	1425	4417
244	1431	4412
245	1438	4407
246	1444	4404
247	1450	4399
248	1456	4393
249	1463	4389
250	1469	4384
251	1475	4380
252	1482	4378
253	1489	4374
254	1495	4370
255	1502	4366
256	1508	4361
257	1515	4357
258	1521	4352
259	1528	4349
260	1534	4345
261	1540	4339
262	1546	4333
263	1552	4327
264	1558	4321
265	1564	4316
266	1570	4312
267	1577	4309
268	1583	4304
269	1589	4298
270	1596	4293
271	1601	4287
272	1608	4282
273	1614	4276
274	1620	4272
275	1626	4267
276	1633	4263
277	1639	4258
278	1646	4253
279	1652	4248
280	1658	4243
281	1664	4237
282	1670	4232
283	1676	4227
284	1683	4223
285	1689	4218
286	1695	4213
287	1702	4208
288	1708	4202
289	1714	4198
290	1721	4193
291	1727	4189
292	1734	4184
293	1740	4179
294	1747	4175
295	1753	4169
296	1759	4165
297	1765	4160
298	1772	4155
299	1778	4149
300	1784	4145
301	1791	4139
302	1798	4136
303	1804	4130
304	1810	4125
305	1816	4119
306	1823	4115
307	1829	4109
308	1835	4104
309	1841	4099
310	1847	4094
311	1854	4088
312	1860	4083
313	1866	4077
314	1872	4072
315	1878	4067
316	1885	4062
317	1891	4056
318	1897	4050
319	1903	4043
320	1909	4039
321	1915	4033
322	1921	4027
323	1927	4021
324	1933	4015
325	1939	4009
326	1945	4003
327	1951	3998
328	1957	3992
329	1963	3986
330	1970	3981
331	1976	3976
332	1981	3969
333	1988	3964
334	1994	3958
335	2000	3953
336	2006	3947
337	2012	3942
338	2018	3936
339	2024	3930
340	2030	3924
341	2037	3919
342	2043	3913
343	2049	3907
344	2055	3902
345	2061	3895
346	2066	3889
347	2073	3884
348	2079	3879
349	2086	3874
350	2092	3869
351	2098	3863
352	2105	3858
353	2111	3852
354	2117	3846
355	2122	3840
356	2128	3834
357	2134	3828
358	2140	3822
359	2147	3818
360	2153	3812
361	2159	3806
362	2165	3799
363	2170	3793
364	2176	3787
365	2182	3780
366	2188	3774
367	2194	3769
368	2200	3763
369	2206	3757
370	2212	3750
371	2217	3744
372	2223	3738
373	2229	3732
374	2236	3726
375	2241	3719
376	2246	3712
377	2253	3707
378	2259	3701
379	2264	3695
380	2271	3689
381	2277	3683
382	2282	3677
383	2288	3671
384	2294	3665
385	2300	3658
386	2306	3653
387	2312	3647
388	2318	3641
389	2325	3636
390	2331	3631
391	2337	3625
392	2344	3620
393	2350	3614
394	2356	3608
395	2362	3603
396	2368	3597
397	2374	3591
398	2381	3586
399	2387	3581
400	2394	3577
401	2401	3572
402	2407	3566
403	2414	3561
404	2420	3556
405	2427	3551
406	2434	3546
407	2441	3542
408	2447	3537
409	2454	3532
410	2461	3527
411	2467	3521
412	2474	3517
413	2481	3511
414	2487	3506
415	2494	3501
416	2500	3496
417	2507	3491
418	2515	3488
419	2522	3483
420	2529	3478
421	2535	3473
422	2543	3470
423	2551	3466
424	2559	3462
425	2566	3457
426	2573	3454
427	2581	3449
428	2588	3445
429	2595	3441
430	2603	3436
431	2610	3432
432	2617	3428
433	2624	3422
434	2631	3418
435	2638	3413
436	2645	3408
437	2652	3403
438	2660	3399
439	2666	3394
440	2673	3389
441	2680	3384
442	2688	3379
443	2695	3375
444	2703	3371
445	2710	3367
446	2717	3362
447	2725	3357
448	2732	3353
449	2739	3348
450	2746	3343
451	2753	3338
452	2760	3333
453	2768	3328
454	2775	3324
455	2782	3319
456	2789	3314
457	2797	3310
458	2804	3305
459	2811	3300
460	2818	3295
461	2826	3291
462	2833	3286
463	2840	3281
464	2848	3276
465	2855	3271
466	2862	3267
467	2869	3262
468	2877	3257
469	2884	3253
470	2891	3247
471	2898	3242
472	2907	3238
473	2913	3233
474	2921	3228
475	2928	3223
476	2935	3218
477	2942	3213
478	2949	3208
479	2956	3203
480	2963	3198
481	2971	3193
482	2978	3188
483	2985	3183
484	2993	3178
485	3000	3173
486	3008	3168
487	3015	3163
488	3022	3158
489	3030	3153
490	3037	3148
491	3044	3143
492	3052	3138
493	3059	3134
494	3066	3128
495	3074	3123
496	3081	3118
497	3088	3113
498	3096	3108
499	3104	3104
500	3111	3099
501	3119	3094
502	3127	3089
503	3134	3084
504	3142	3079
505	3149	3075
506	3157	3070
507	3164	3064
508	3172	3059
509	3179	3054
510	3187	3050
511	3195	3046
512	3203	3041
513	3211	3036
514	3219	3032
515	3227	3027
516	3235	3022
517	3243	3017
518	3251	3013
519	3259	3008
520	3266	3003
521	3274	2998
522	3281	2993
523	3289	2988
524	3298	2984
525	3306	2979
526	3314	2974
527	3321	2969
528	3329	2964
